date,price
2021-09-15,2.5874232806598756
2021-09-16,2.165413011826963
2021-09-17,1.4298228928491505
2021-09-18,2.3806381376046493
2021-09-19,1.8421855421686744
2021-09-20,1.8265822515803976
2021-09-21,2.8548098394650485
2021-09-22,1.5291451791666668
2021-09-23,1.7782312627634114
2021-09-24,1.87331095890411
2021-09-25,1.9433676190476186
2021-09-26,2.0108874999999995
2021-09-27,2.8941858305857178
2021-09-28,3.9424544244974875
2021-09-29,5.060205993103452
2021-09-30,8.51196707824087
2021-10-01,5.818946052631579
2021-10-02,6.033314543330073
2021-10-03,9.495436491601374
2021-10-04,16.10418570383582
2021-10-05,19.317999020618558
2021-10-06,16.744810990000005
2021-10-07,12.603057971014493
2021-10-08,10.35445736763193
2021-10-09,11.891239547322943
2021-10-10,8.103959999999999
2021-10-11,6.614923502112003
2021-10-12,8.734363962206022
2021-10-13,5.843802173913044
2021-10-14,5.73832
2021-10-15,6.260975609756097
2021-10-16,6.630932258064517
2021-10-17,4.369299705405407
2021-10-18,5.134534615384616
2021-10-19,3.2990689655172405
2021-10-20,4.301836061706408
2021-10-21,4.658886274509804
2021-10-22,6.9734294736842095
2021-10-23,7.2025844827586205
2021-10-24,6.634789655172415
2021-10-25,3.4945933333333334
2021-10-26,4.3225
2021-10-27,3.218065
2021-10-28,3.8899534210526316
2021-10-29,3.293
2021-10-30,3.85075
2021-10-31,3.467118181818182
2021-11-01,4.300478437500001
2021-11-02,2.4799242424242425
2021-11-03,3.8667510204081625
2021-11-04,5.116530523423374
2021-11-05,4.418594594594595
2021-11-06,4.744260869565217
2021-11-07,3.2183777777777776
2021-11-08,3.562880769230769
2021-11-09,3.9189944444444444
2021-11-10,5.570177777777778
2021-11-11,4.142949999999999
2021-11-12,3.695181818181818
2021-11-13,5.311014741474146
2021-11-14,6.21383609375
2021-11-15,5.395042857142858
2021-11-16,5.262719696969696
2021-11-17,5.5727525
2021-11-18,4.9250606060606055
2021-11-19,3.8284523809523807
2021-11-20,4.99842105263158
2021-11-21,4.724185714285714
2021-11-22,4.02969375
2021-11-23,5.851666666666667
2021-11-24,3.503333333333333
2021-11-25,5.9062631578947355
2021-11-26,3.930368421052631
2021-11-27,4.709921052631579
2021-11-28,2.9505555555555554
2021-11-29,2.531862068965518
2021-11-30,3.1456375
2021-12-01,3.930472222222222
2021-12-02,3.186352941176471
2021-12-03,2.6173276245086576
2021-12-04,2.294768421052632
2021-12-05,3.86761724137931
2021-12-06,3.3762156249999995
2021-12-07,3.254736208329166
2021-12-08,2.4594178947368412
2021-12-09,3.7516702702702696
2021-12-10,3.6290909090909085
2021-12-11,3.3940624996875
2021-12-12,1.6575
2021-12-13,1.4132258064516126
2021-12-14,2.7864313725490195
2021-12-15,2.3016666666666663
2021-12-16,1.9091787234042552
2021-12-17,2.3537921052631576
2021-12-18,2.776194117647059
2021-12-19,3.4809999999999994
2021-12-20,2.209411764705882
2021-12-21,1.6439999999999997
2021-12-22,1.5434565217391303
2021-12-23,2.1581147058823538
2021-12-24,2.165777777777777
2021-12-25,2.631990909090909
2021-12-26,2.74115
2021-12-27,4.350982385964917
2021-12-28,2.7234444444444446
2021-12-29,3.3148966666666664
2021-12-30,1.9741135483870969
2021-12-31,2.645768852459016
2022-01-01,2.059414285714286
2022-01-02,3.833492105263157
2022-01-03,4.063102777777779
2022-01-04,4.132414634146341
2022-01-05,3.2533892857142854
2022-01-06,3.971720000000001
2022-01-07,2.5016153846153846
2022-01-08,3.114576923076924
2022-01-09,3.0618950000000003
2022-01-10,2.761928571428571
2022-01-11,2.5028571428571427
2022-01-12,3.62716
2022-01-13,3.030903225806452
