date,price
2021-06-20,1.6393256250000008
2021-06-21,1.2179266057535578
2021-06-22,1.2034136231111208
2021-06-23,1.3818636801172945
2021-06-24,1.5305126113019545
2021-06-25,2.118697080151807
2021-06-26,2.073158214814062
2021-06-27,1.200930266529582
2021-06-28,1.0325218904764917
2021-06-29,1.0268905259576677
2021-06-30,0.6971866666666666
2021-07-01,0.881515094339623
2021-07-02,0.6630695652173911
2021-07-03,0.34806304347826084
2021-07-04,0.8123139534883719
2021-07-05,0.6556605263157894
2021-07-06,0.5587380000000002
2021-07-07,0.9318304342979313
2021-07-08,0.6154515625
2021-07-09,0.7395633333333335
2021-07-10,0.7295367045236067
2021-07-11,0.5612019607843138
2021-07-12,0.9345708279602343
2021-07-13,0.8594136842105263
2021-07-14,1.1371819805617385
2021-07-15,1.2361744680851063
2021-07-16,1.1661715230268792
2021-07-17,1.8226571442997235
2021-07-18,1.6435893333333331
2021-07-19,2.299321658657767
2021-07-20,2.875088128418764
2021-07-21,5.370685270676242
2021-07-22,2.3733696891984075
2021-07-23,2.018315939012945
2021-07-24,1.9584020791797676
2021-07-25,2.0538636363636367
2021-07-26,1.5773578947368425
2021-07-27,1.3725615384615384
2021-07-28,1.8612034963594608
2021-07-29,0.8836688967081466
2021-07-30,0.869534375
2021-07-31,1.437527868852459
2021-08-01,1.8097548872180453
2021-08-02,3.342551162790698
2021-08-03,1.684247490284703
2021-08-04,2.6400241524928654
2021-08-05,3.4524973916974138
2021-08-06,3.7602821707592593
2021-08-07,3.5180472648434673
2021-08-08,8.279262741202787
2021-08-09,3.9045094748416895
2021-08-10,3.1135357142857147
2021-08-11,1.6043465116279072
2021-08-12,2.141195372621072
2021-08-13,1.5040875000000002
2021-08-14,2.21406345845487
2021-08-15,1.635130909090909
2021-08-16,1.7476176470588238
2021-08-17,1.7160934089668043
2021-08-18,1.5315821058338182
2021-08-19,1.2561923076923074
2021-08-20,2.4626305777880373
2021-08-21,2.6452646907858335
2021-08-22,2.1743217995366653
2021-08-23,2.9060187242040834
2021-08-24,3.7093803381817385
2021-08-25,4.047772549681074
2021-08-26,4.573535341747268
2021-08-27,4.395611926605505
2021-08-28,6.424885315566206
2021-08-29,3.9514264961085854
2021-08-30,5.359305208333333
