date,price_x,price_y,Open,High,Low,Close,Adj Close,Volume
2021-09-15,2.587423280659876,4.268916666666667,3431.217285,3615.282715,3365.913086,3615.282715,3615.282715,17548551804
2021-09-16,2.165413011826962,3.371252236383749,3613.07373,3673.310791,3489.805664,3571.294922,3571.294922,20093903064
2021-09-17,1.4298228928491503,2.237495,3569.568115,3589.305176,3356.449951,3398.538818,3398.538818,17722363229
2021-09-18,2.3806381376046493,2.7073225806451613,3397.422852,3540.807617,3371.892334,3432.018311,3432.018311,15995220233
2021-09-19,1.8421855421686744,2.761652631578948,3433.287842,3448.322021,3286.172363,3329.447998,3329.447998,14257609743
2021-09-20,1.826582251580397,3.001746428571429,3329.670654,3343.325439,2940.839111,2958.993408,2958.993408,27371684581
2021-09-21,2.854809839465048,3.680423648648649,2977.310547,3101.69751,2676.407471,2764.431152,2764.431152,30405062665
2021-09-22,1.5291451791666666,3.9718649387755103,2763.209229,3089.083008,2741.440674,3077.86792,3077.86792,23742102645
2021-09-23,1.7782312627634125,3.57854,3077.974365,3173.544678,3038.0979,3155.523682,3155.523682,18516291047
2021-09-24,1.8733109589041093,3.893271267336508,3154.562012,3159.644043,2747.337646,2931.669189,2931.669189,25595422789
2021-09-25,1.943367619047619,2.1891442500000005,2930.884766,2968.994629,2818.970459,2925.565674,2925.565674,18932786754
2021-09-26,2.0108875,2.0944,2926.343018,3114.857422,2744.583008,3062.265381,3062.265381,21172766310
2021-09-27,2.8941858305857173,2.544252346209304,3065.837891,3163.665039,2932.692871,2934.138916,2934.138916,19164053681
2021-09-28,3.942454424497483,2.2238378045624185,2928.963379,2970.770508,2793.360596,2807.296631,2807.296631,16895079070
2021-09-29,5.060205993103448,1.5904916666666666,2809.297607,2946.881348,2786.988281,2853.143311,2853.143311,15763456158
2021-09-30,8.511967078240868,19.197,2852.558838,3046.519531,2840.289551,3001.678955,3001.678955,17661065099
2021-10-01,5.81894605263158,3.676846153846154,3001.129395,3329.853516,2978.654297,3307.516113,3307.516113,22307625573
2021-10-02,6.033314543330074,3.340818181818182,3308.870361,3464.837402,3260.027588,3391.694336,3391.694336,19202671704
2021-10-03,9.495436491601376,3.1182578947368422,3390.767578,3484.605713,3348.120117,3418.358643,3418.358643,15516566862
2021-10-04,16.104185703835842,2.32106875,3418.776367,3434.775391,3283.44873,3380.089111,3380.089111,17747154101
2021-10-05,19.31799902061856,2.2579148148148147,3381.784424,3541.45166,3365.817627,3518.518555,3518.518555,16632591670
2021-10-06,16.74481099,2.0878533333333333,3516.570313,3622.55127,3354.469727,3580.562012,3580.562012,21855226591
2021-10-07,12.603057971014492,5.343061904761905,3576.814453,3650.013184,3479.90918,3587.974854,3587.974854,19090322927
2021-10-08,10.354457367631928,2.6813617021276595,3587.832764,3667.95752,3547.828125,3563.759277,3563.759277,16222029488
2021-10-09,11.89123954732294,2.0861379310344828,3559.997803,3628.237305,3544.640381,3575.716797,3575.716797,12707036942
2021-10-10,8.103959999999999,1.0383727272727272,3575.020508,3603.244873,3414.970947,3425.852783,3425.852783,16171746693
2021-10-11,6.614923502112004,2.9296607142857143,3419.726807,3622.289551,3385.761719,3545.354004,3545.354004,18579189588
2021-10-12,8.734363962206018,2.023066666666667,3546.477783,3546.477783,3407.338135,3492.573242,3492.573242,18109578443
2021-10-13,5.843802173913042,0.9860863636363636,3492.753662,3607.741699,3417.602051,3606.20166,3606.20166,16211275589
2021-10-14,5.73832,1.9544791666666663,3604.958984,3819.258545,3590.275146,3786.01416,3786.01416,19443499909
2021-10-15,6.260975609756097,2.5753291666666667,3790.154297,3895.466309,3735.363525,3862.634766,3862.634766,20966841512
2021-10-16,6.630932258064516,2.1071875,3865.666504,3962.453125,3805.885986,3830.38208,3830.38208,16578095629
2021-10-17,4.369299705405406,1.84948,3829.858887,3914.897949,3660.723389,3847.104492,3847.104492,15908090346
2021-10-18,5.134534615384615,1.4849777777777775,3847.72998,3888.209229,3686.750488,3748.760254,3748.760254,17386204158
2021-10-19,3.2990689655172414,1.0485,3747.162842,3883.928711,3736.780273,3877.650879,3877.650879,15998757133
