date,price
2021-09-15,2.587423280659876
2021-09-16,2.165413011826962
2021-09-17,1.4298228928491503
2021-09-18,2.3806381376046493
2021-09-19,1.8421855421686746
2021-09-20,1.826582251580397
2021-09-21,2.854809839465048
2021-09-22,1.5291451791666666
2021-09-23,1.7782312627634123
2021-09-24,1.8733109589041095
2021-09-25,1.943367619047619
2021-09-26,2.0108875
2021-09-27,2.8941858305857173
2021-09-28,3.942454424497483
2021-09-29,5.060205993103448
2021-09-30,8.511967078240868
2021-10-01,5.8189460526315795
2021-10-02,6.033314543330074
2021-10-03,9.495436491601376
2021-10-04,16.104185703835842
2021-10-05,19.317999020618558
2021-10-06,16.74481099
2021-10-07,12.603057971014493
2021-10-08,10.354457367631928
2021-10-09,11.891239547322941
2021-10-10,8.103959999999999
2021-10-11,6.614923502112004
2021-10-12,8.734363962206018
2021-10-13,5.843802173913042
2021-10-14,5.73832
2021-10-15,6.260975609756097
2021-10-16,6.630932258064516
2021-10-17,4.369299705405406
2021-10-18,5.134534615384615
2021-10-19,3.2990689655172414
2021-10-20,4.301836061706409
2021-10-21,4.658886274509804
2021-10-22,6.973429473684211
2021-10-23,7.202584482758621
2021-10-24,6.634789655172415
2021-10-25,3.4945933333333334
2021-10-26,4.3225
2021-10-27,3.218065
2021-10-28,3.8899534210526316
2021-10-29,3.293
2021-10-30,3.85075
2021-10-31,3.467118181818182
2021-11-01,4.3004784375
2021-11-02,2.4799242424242425
2021-11-03,3.866751020408163
2021-11-04,5.116530523423373
2021-11-05,4.418594594594595
2021-11-06,4.744260869565217
2021-11-07,3.218377777777778
2021-11-08,3.562880769230769
2021-11-09,3.9189944444444444
2021-11-10,5.570177777777778
2021-11-11,4.142950000000001
2021-11-12,3.695181818181818
2021-11-13,5.311014741474148
2021-11-14,6.21383609375
2021-11-15,5.395042857142857
2021-11-16,5.262719696969697
2021-11-17,5.5727525
2021-11-18,4.9250606060606055
2021-11-19,3.8284523809523807
2021-11-20,4.998421052631579
2021-11-21,4.724185714285714
2021-11-22,4.02969375
2021-11-23,5.851666666666667
2021-11-24,3.5033333333333334
2021-11-25,5.906263157894737
2021-11-26,3.930368421052632
2021-11-27,4.709921052631579
2021-11-28,2.9505555555555554
2021-11-29,2.5318620689655176
2021-11-30,3.1456375
2021-12-01,3.930472222222222
2021-12-02,3.1863529411764704
2021-12-03,2.617327624508658
2021-12-04,2.294768421052632
2021-12-05,3.8676172413793104
2021-12-06,3.376215625
2021-12-07,3.2547362083291667
2021-12-08,2.459417894736842
2021-12-09,3.7516702702702704
2021-12-10,3.6290909090909094
2021-12-11,3.3940624996875
2021-12-12,1.6575
2021-12-13,1.413225806451613
2021-12-14,2.7864313725490195
2021-12-15,2.3016666666666667
2021-12-16,1.9091787234042554
2021-12-17,2.353792105263158
2021-12-18,2.776194117647059
2021-12-19,3.4810000000000003
2021-12-20,2.2094117647058824
2021-12-21,1.6440000000000001
2021-12-22,1.5434565217391303
2021-12-23,2.158114705882353
2021-12-24,2.1657777777777776
2021-12-25,2.6319909090909093
2021-12-26,2.74115
2021-12-27,4.350982385964913
2021-12-28,2.7234444444444446
2021-12-29,3.314896666666667
2021-12-30,1.9741135483870966
2021-12-31,2.645768852459016
2022-01-01,2.0594142857142854
2022-01-02,3.833492105263158
2022-01-03,4.063102777777778
2022-01-04,4.1324146341463415
2022-01-05,3.2533892857142854
2022-01-06,3.9717200000000004
2022-01-07,2.5016153846153846
2022-01-08,3.114576923076923
2022-01-09,3.0618950000000003
2022-01-10,2.7619285714285717
2022-01-11,2.5028571428571427
2022-01-12,3.62716
2022-01-13,3.0309032258064517
