date,bored_apes_1,cool_cats_1,dollar_price,bored_apes_2,cool_cats_2
2021-09-15,2.587423280659876,4.268916666666667,3615.282715,9354.266662958244,15433.340636775416
2021-09-16,2.165413011826962,3.371252236383749,3571.294922,7733.328493170356,12039.735992578428
2021-09-17,1.4298228928491503,2.237495,3398.538818,4859.308604212892,7604.21361258091
2021-09-18,2.3806381376046493,2.7073225806451613,3432.018311,8170.393680124093,9291.580670557967
2021-09-19,1.8421855421686744,2.761652631578948,3329.447998,6133.460965318038,9194.77882538196
2021-09-20,1.826582251580397,3.001746428571429,2958.993408,5404.844841596192,8882.1478946304
2021-09-21,2.854809839465048,3.680423648648649,2764.431152,7891.925253253298,10174.277786881828
2021-09-22,1.5291451791666666,3.9718649387755103,3077.86792,4706.506891979736,12224.875677629907
2021-09-23,1.7782312627634125,3.57854,3155.523682,5611.250861722713,11292.167716984279
2021-09-24,1.8733109589041093,3.893271267336508,2931.669189,5491.928019635223,11413.783418869423
2021-09-25,1.943367619047619,2.1891442500000005,2925.565674,5685.449598248822,6404.485273234476
2021-09-26,2.0108875,2.0944,3062.265381,6157.871176335638,6413.608613966399
2021-09-27,2.8941858305857173,2.544252346209304,2934.138916,8491.943275657335,7465.1898211370235
2021-09-28,3.942454424497483,2.2238378045624185,2807.296631,11067.63902376283,6242.972376638514
2021-09-29,5.060205993103448,1.5904916666666666,2853.143311,14437.492881505215,4537.900659951241
2021-09-30,8.511967078240868,19.197,3001.678955,25550.19244440845,57623.23089913499
2021-10-01,5.81894605263158,3.676846153846154,3307.516113,19246.257829756698,12161.227898868232
2021-10-02,6.033314543330074,3.340818181818182,3391.694336,20463.15876391904,11331.034104878547
2021-10-03,9.495436491601376,3.1182578947368422,3418.358643,32458.80740012316,10659.323825576668
2021-10-04,16.104185703835842,2.32106875,3380.089111,54433.5827390574,7845.41920775738
2021-10-05,19.31799902061856,2.2579148148148147,3518.518555,67970.73799951824,7944.515171535315
2021-10-06,16.74481099,2.0878533333333333,3580.562012,59955.83412891412,7475.688331960906
2021-10-07,12.603057971014492,5.343061904761905,3587.974854,45219.45508350426,19170.77175765106
2021-10-08,10.354457367631928,2.6813617021276595,3563.759277,36900.79350219929,9555.727640949957
2021-10-09,11.89123954732294,2.0861379310344828,3575.716797,42519.70498651331,7459.438440858828
2021-10-10,8.103959999999999,1.0383727272727272,3425.852783,27762.973919320673,3557.3120975185725
2021-10-11,6.614923502112004,2.9296607142857143,3545.354004,23452.24552436649,10386.684343754356
2021-10-12,8.734363962206018,2.023066666666667,3492.573242,30505.405860289837,7065.708506782134
2021-10-13,5.843802173913042,0.9860863636363636,3606.20166,21073.929100276822,3556.0262814488183
2021-10-14,5.73832,1.9544791666666663,3786.01416,21725.3607746112,7399.685800424999
2021-10-15,6.260975609756097,2.5753291666666667,3862.634766,24183.862059321953,9947.555973060475
2021-10-16,6.630932258064516,2.1071875,3830.38208,25399.004094984255,8071.3332392
2021-10-17,4.369299705405406,1.84948,3847.104492,16809.152523559413,7115.14281586416
2021-10-18,5.134534615384615,1.4849777777777775,3748.760254,19248.13928894102,5566.8256714065765
2021-10-19,3.2990689655172414,1.0485,3877.650879,12792.637674019552,4065.7169466315
2021-10-20,4.301836061706409,1.2849,4155.992188,17878.39706650852,5340.0343623612
2021-10-21,4.658886274509804,1.564042105263158,4054.322754,18888.62863104339,6341.131495582484
2021-10-22,6.973429473684211,2.036666666666667,3970.181885,27685.78337274614,8085.937105783335
2021-10-23,7.202584482758621,2.316410256410256,4171.663574,30046.759325381772,9663.284289106665
2021-10-24,6.634789655172415,1.979375,4087.903076,27122.377039992294,8091.493151057501
2021-10-25,3.494593333333333,1.889983333333333,4217.876953,14739.764680774111,7971.7171432207815
2021-10-26,4.3225,1.7458333333333331,4131.102051,17856.6886154475,7212.215664037499
2021-10-27,3.218065,1.8166666666666669,3930.257324,12647.82353535806,7139.967471933334
2021-10-28,3.889953421052632,1.7728333333333337,4287.318848,16677.47061992103,7600.701764362668
2021-10-29,3.293,1.3245916666666666,4414.746582,14537.760494526,5847.73653296235
2021-10-30,3.85075,1.269942105263158,4325.650391,16656.99824314325,5493.325564178943
2021-10-31,3.467118181818182,2.11,4288.074219,14867.260089680702,9047.83660209
2021-11-01,4.3004784375,1.3965,4324.626953,18597.964961607824,6039.3415398645
2021-11-02,2.4799242424242425,2.162935294117647,4584.798828,11369.953760195454,9916.623201510423
2021-11-03,3.866751020408163,1.71488999,4607.193848,17814.87151297221,7900.830611924782
2021-11-04,5.116530523423373,1.054591304347826,4537.324219,23215.35786118162,4785.0226663641915
2021-11-05,4.418594594594595,1.343745,4486.243164,19822.889794487353,6028.36682040918
2021-11-06,4.744260869565217,1.3837846153846154,4521.581055,21451.560067803908,6256.894301123538
2021-11-07,3.218377777777778,2.034748,4620.554688,14870.690528866135,9401.664410298625
2021-11-08,3.562880769230769,1.5412142857142856,4812.087402,17144.893664443454,7416.457848068143
2021-11-09,3.918994444444445,1.1589473684210525,4735.068848,18556.70850937396,5487.695580682104
2021-11-10,5.570177777777778,1.86538,4636.174316,25824.31514888729,8648.226845580079
2021-11-11,4.142950000000001,2.101875,4730.384277,19597.745540397154,9942.676452219375
2021-11-12,3.695181818181818,2.175666666666667,4667.115234,17245.83935603618,10154.087044106001
2021-11-13,5.311014741474148,2.423628301886793,4651.460449,24703.97501402296,11273.41118930345
2021-11-14,6.21383609375,3.54487970857993,4626.358887,28747.43583468168,16399.88574313473
2021-11-15,5.395042857142857,3.1552709062604647,4557.503906,24587.92889446597,14380.159479770227
2021-11-16,5.262719696969697,4.553962962962963,4216.365234,22189.548366590043,19201.171113960667
2021-11-17,5.5727525,3.677071074380165,4287.59375,23893.698789296875,15765.78695681818
2021-11-18,4.9250606060606055,4.003752476531019,4000.650879,19703.448042764634,16017.615864532247
2021-11-19,3.8284523809523807,3.851092682926829,4298.306641,16455.86229379988,16553.177254130896
2021-11-20,4.998421052631579,2.470931034482758,4409.931152,22042.69271081263,10896.635743409102
2021-11-21,4.724185714285714,2.7074107142857144,4269.73291,20171.01121723757,11559.920627672322
2021-11-22,4.02969375,2.8424,4088.457764,16475.232698729775,11621.0323483936
2021-11-23,5.851666666666667,3.5492299000000003,4340.763672,25400.702087319998,15406.368213496195
2021-11-24,3.5033333333333334,2.556666666666666,4239.981445,14854.068328983334,10840.219227716665
2021-11-25,5.906263157894737,2.361453333333333,4274.743164,25247.758058995583,10094.60649377168
2021-11-26,3.930368421052632,4.3755,4030.908936,15842.957190193263,17637.242049467997
2021-11-27,4.709921052631579,2.5549916666666665,4096.912109,19296.13259296034,10467.576297560758
2021-11-28,2.950555555555556,2.65,4294.453613,12671.023965912778,11380.302074449999
2021-11-29,2.5318620689655176,5.002580645161291,4445.10498,11254.392691431725,22236.996138658065
2021-11-30,3.1456375,2.018775,4631.479004,14568.95403544505,9349.9140263001
2021-12-01,3.930472222222222,2.899629411764706,4586.990234,18029.03769834161,13300.57179398387
2021-12-02,3.1863529411764704,1.36908,4511.302246,14374.601180078118,6176.333678953681
2021-12-03,2.617327624508658,2.8707,4220.706055,11046.970552682458,12116.380872088499
2021-12-04,2.294768421052632,1.8384882352941176,4119.587402,9453.499077875853,7573.812972842859
2021-12-05,3.8676172413793104,3.2319866666666663,4198.322754,16237.505468245468,13568.923163291278
2021-12-06,3.376215625,2.4276315789473686,4358.737305,14716.03699441139,10581.408325953947
2021-12-07,3.2547362083291667,8.566923076923077,4315.061523,14044.3869800761,36966.80013973154
2021-12-08,2.459417894736842,2.47215,4439.35791,10918.236284995546,10974.7586572065
2021-12-09,3.7516702702702704,2.4465076923076925,4119.815918,15456.190898546824,10079.161334278679
2021-12-10,3.629090909090909,2.6292142857142857,3908.496094,14184.287642952728,10276.273766003285
2021-12-11,3.3940624996875,1.6177777777777778,4084.452393,13862.886698840171,6607.736315786667
2021-12-12,1.6575,2.41041875,4134.453125,6852.8560546875,9965.763333496094
2021-12-13,1.413225806451613,1.66258,3784.226807,5347.966981118388,6291.57980478206
2021-12-14,2.7864313725490195,2.5520333333333336,3745.44043,10436.41271816549,9558.488825374334
2021-12-15,2.3016666666666667,2.49068,4018.388672,9248.991260053333,10008.520297576959
